sexo,idade,peso,altura,nivel,dias_disponiveis,tempo_disponivel,split
M,43,100.1,1.73,iniciante,4,80,Upper/Lower 2x
M,30,94.1,1.7,iniciante,5,40,Upper/Lower 3x + Full Body
F,24,60.2,1.69,iniciante,3,70,Full Body 3x
F,24,47.4,1.95,avancado,4,50,Full Body 4x
M,44,63.0,1.67,avancado,6,60,PPL 2x
F,29,90.0,1.89,intermediario,4,70,Upper/Lower 2x
F,35,83.1,1.83,iniciante,5,40,Upper/Lower 3x + Full Body
F,39,64.4,1.95,iniciante,3,90,Full Body 3x
F,53,77.3,1.93,intermediario,5,70,Upper/Lower 2x + Full Body
M,23,67.5,1.81,intermediario,3,90,Full Body 3x
F,35,70.1,1.51,intermediario,4,90,Upper/Lower 2x
M,28,70.9,1.85,avancado,6,40,Upper/Lower 3x
F,36,65.1,1.52,avancado,3,60,PPL 1x
M,25,110.9,1.66,iniciante,3,90,Full Body 3x
F,36,52.2,1.63,iniciante,5,90,Upper/Lower 3x + Full Body
M,42,94.9,1.66,iniciante,3,60,Full Body 3x
M,22,81.8,1.66,intermediario,3,40,Full Body 3x
M,27,87.0,1.88,intermediario,3,60,Full Body 3x
F,29,48.3,1.51,intermediario,3,60,Full Body 3x
M,60,71.0,1.78,avancado,5,70,Bro Split
M,33,105.9,1.57,intermediario,4,70,Upper/Lower 2x
F,36,93.1,1.78,iniciante,6,90,PPL 2x
M,39,55.0,1.97,intermediario,5,80,UL PPL
F,31,87.1,1.61,avancado,5,40,Upper/Lower 2x + Full Body
M,44,74.5,1.7,iniciante,4,70,Upper/Lower 2x
F,68,55.5,1.75,avancado,5,70,Lower Focus (LULUL)
F,62,58.7,1.83,iniciante,4,60,Upper/Lower 2x
M,38,114.4,1.57,avancado,6,40,Upper/Lower 3x
M,18,81.9,1.95,intermediario,6,60,Upper/Lower 3x
M,47,90.0,1.95,avancado,6,70,PPL 2x
F,30,86.4,1.68,iniciante,3,50,Full Body 3x
M,30,83.9,1.61,iniciante,5,70,Upper/Lower 3x + Full Body
M,43,60.8,1.81,iniciante,4,50,Full Body 4x
F,34,46.8,1.75,intermediario,4,40,Full Body 4x
F,63,50.5,1.64,intermediario,4,70,Upper/Lower 2x
M,41,59.2,1.56,iniciante,5,80,Upper/Lower 3x + Full Body
F,51,54.6,1.84,avancado,5,70,Lower Focus (LULUL)
M,53,116.0,1.82,avancado,3,80,Full Body 3x
F,29,58.7,1.84,intermediario,5,60,Lower Focus (LULUL)
M,20,58.1,1.96,intermediario,5,40,Bro Split
M,25,112.2,1.9,avancado,4,90,Upper/Lower 2x
M,32,114.6,1.6,iniciante,3,70,Full Body 3x
F,22,66.6,1.51,avancado,5,80,Lower Focus (LULUL)
F,27,56.9,1.67,iniciante,5,60,Upper/Lower 3x + Full Body
M,26,105.4,1.81,avancado,6,70,PPL 2x
M,22,114.6,1.69,avancado,3,70,PPL 1x
F,21,47.7,1.81,intermediario,3,70,Full Body 3x
F,37,87.5,1.7,intermediario,6,50,Upper/Lower 3x
M,38,84.5,1.73,intermediario,3,60,Full Body 3x
M,57,84.5,1.66,iniciante,3,40,Full Body 3x
M,43,113.8,1.56,intermediario,5,60,Bro Split
F,44,54.3,1.57,iniciante,4,60,Upper/Lower 2x
F,32,60.6,1.94,avancado,4,60,Upper/Lower 2x
F,38,63.4,1.5,intermediario,4,40,Full Body 4x
M,35,82.4,1.6,iniciante,4,70,Upper/Lower 2x
F,29,79.7,1.99,intermediario,5,80,Lower Focus (LULUL)
F,37,75.8,1.71,iniciante,6,80,PPL 2x
F,55,56.0,1.5,iniciante,4,60,Upper/Lower 2x
F,26,81.7,1.98,iniciante,6,50,PPL 2x
M,25,78.6,1.54,iniciante,3,50,Full Body 3x
F,33,47.2,1.51,iniciante,4,50,Full Body 4x
M,27,77.1,1.78,iniciante,3,50,Full Body 3x
M,27,56.4,1.84,intermediario,3,60,Full Body 3x
F,26,57.0,1.9,intermediario,6,80,PPL 2x
M,21,112.4,1.57,iniciante,6,70,PPL 2x
F,29,93.8,1.62,iniciante,4,80,Upper/Lower 2x
M,28,76.3,1.53,avancado,4,80,Upper/Lower 2x
F,61,55.5,1.54,intermediario,3,50,Full Body 3x
F,31,69.9,1.73,iniciante,5,60,Upper/Lower 3x + Full Body
F,34,68.7,1.79,intermediario,3,50,Full Body 3x
F,54,88.2,1.7,iniciante,6,70,PPL 2x
F,57,57.7,1.54,avancado,5,60,Lower Focus (LULUL)
M,30,85.2,1.81,intermediario,6,60,Upper/Lower 3x
F,30,60.9,1.69,iniciante,4,60,Upper/Lower 2x
M,22,74.1,1.75,intermediario,3,70,Full Body 3x
M,56,62.7,1.68,intermediario,5,50,Bro Split
F,29,82.3,1.88,avancado,4,70,Upper/Lower 2x
F,67,45.4,1.65,avancado,6,80,PPL 2x
M,49,85.7,1.76,avancado,4,80,Upper/Lower 2x
M,26,85.8,1.76,avancado,6,70,PPL 2x
M,33,75.3,1.59,avancado,6,50,Upper/Lower 3x
M,33,79.4,1.79,iniciante,3,60,Full Body 3x
F,41,62.0,1.71,intermediario,6,70,PPL 2x
F,42,61.3,1.51,avancado,4,50,Full Body 4x
F,59,73.4,1.9,avancado,6,100,PPL 2x
F,26,48.2,1.69,intermediario,5,70,Lower Focus (LULUL)
F,33,49.7,1.55,intermediario,3,80,Full Body 3x
M,38,67.1,1.53,avancado,5,50,Bro Split
M,28,84.6,1.68,iniciante,5,80,Upper/Lower 3x + Full Body
M,32,119.3,1.56,intermediario,3,60,Full Body 3x
M,54,63.4,1.6,intermediario,6,50,Upper/Lower 3x
F,37,74.4,1.75,intermediario,5,50,Lower Focus (LULUL)
F,65,48.2,1.7,avancado,5,80,Lower Focus (LULUL)
F,52,68.1,1.52,iniciante,6,60,PPL 2x
F,50,64.6,1.91,avancado,6,50,Upper/Lower 3x
F,54,67.9,1.96,iniciante,3,60,Full Body 3x
M,58,112.6,1.58,avancado,5,70,Bro Split
M,21,114.1,1.71,avancado,3,100,PPL 1x
M,22,87.8,1.89,intermediario,4,60,Full Body 4x
F,35,46.3,1.82,intermediario,6,60,Upper/Lower 3x
M,45,80.8,1.51,iniciante,4,60,Upper/Lower 2x
F,45,68.1,1.54,intermediario,6,50,Upper/Lower 3x
M,49,66.1,1.51,iniciante,5,50,Upper/Lower 3x + Full Body
M,44,60.0,1.88,intermediario,4,60,Full Body 4x
M,25,113.0,1.77,intermediario,3,80,Full Body 3x
M,48,80.4,1.65,iniciante,3,40,Full Body 3x
M,31,115.4,1.69,iniciante,3,40,Full Body 3x
M,19,76.9,1.6,intermediario,4,90,Upper/Lower 2x
M,22,102.1,1.52,intermediario,5,60,Bro Split
M,39,115.7,1.7,intermediario,4,50,Full Body 4x
M,30,56.0,1.83,iniciante,4,60,Upper/Lower 2x
F,21,77.5,1.68,iniciante,4,60,Upper/Lower 2x
F,46,94.2,1.55,intermediario,4,60,Full Body 4x
F,22,94.1,1.85,intermediario,4,60,Full Body 4x
F,40,93.9,1.83,iniciante,3,70,Full Body 3x
F,38,70.6,1.87,intermediario,3,50,Full Body 3x
M,39,75.1,1.87,avancado,3,40,PPL 1x
F,31,55.1,1.69,intermediario,4,80,Upper/Lower 2x
F,38,82.0,1.66,iniciante,3,60,Full Body 3x
F,62,82.5,1.61,intermediario,5,50,Upper/Lower 2x + Full Body
M,36,107.1,1.85,iniciante,6,60,PPL 2x
M,25,59.2,1.75,avancado,3,70,PPL 1x
M,24,63.2,1.59,intermediario,4,50,Full Body 4x
F,22,60.6,1.86,iniciante,4,70,Upper/Lower 2x
F,28,93.4,1.6,avancado,6,40,Upper/Lower 3x
F,61,63.9,1.74,intermediario,6,70,PPL 2x
F,49,46.0,1.69,avancado,5,70,Lower Focus (LULUL)
M,24,71.7,1.73,intermediario,6,70,PPL 2x
F,34,51.8,1.73,iniciante,4,40,Full Body 4x
F,51,69.6,1.96,avancado,5,60,Lower Focus (LULUL)
M,28,81.6,1.52,avancado,6,80,Arnold Split
F,24,92.9,1.89,avancado,5,60,Upper/Lower 2x + Full Body
F,34,79.8,1.83,avancado,4,50,Full Body 4x
F,20,76.5,1.84,intermediario,4,60,Full Body 4x
M,33,71.5,1.8,avancado,4,40,Full Body 4x
F,46,64.9,1.79,avancado,4,80,Upper/Lower 2x
F,24,57.6,1.65,avancado,6,70,PPL 2x
M,44,62.1,1.79,avancado,4,60,Upper/Lower 2x
F,26,80.0,1.5,iniciante,6,40,PPL 2x
F,21,71.2,1.83,intermediario,4,50,Full Body 4x
M,25,67.9,1.59,avancado,6,70,PPL 2x
M,26,58.8,1.59,avancado,5,100,UL PPL
F,52,76.3,1.81,avancado,4,40,Full Body 4x
M,22,73.0,1.67,intermediario,6,60,Upper/Lower 3x
M,45,59.0,1.88,iniciante,3,40,Full Body 3x
M,35,79.4,1.76,avancado,5,80,Bro Split
F,34,75.2,1.67,intermediario,5,100,Lower Focus (LULUL)
F,48,78.3,1.69,iniciante,5,80,Upper/Lower 3x + Full Body
M,48,84.7,1.85,intermediario,4,40,Full Body 4x
F,23,92.6,1.88,iniciante,6,70,PPL 2x
F,41,70.7,1.83,iniciante,5,40,Upper/Lower 3x + Full Body
M,30,118.0,1.87,intermediario,4,70,Upper/Lower 2x
M,31,77.6,1.97,avancado,6,100,Arnold Split
M,51,102.7,1.65,iniciante,4,80,Upper/Lower 2x
M,52,63.3,1.9,iniciante,6,50,PPL 2x
M,33,86.3,1.77,iniciante,4,70,Upper/Lower 2x
M,41,61.9,2.0,iniciante,5,80,Upper/Lower 3x + Full Body
M,46,101.7,1.83,avancado,3,70,Full Body 3x
F,56,49.5,1.85,avancado,3,70,Full Body 3x
F,31,77.7,1.89,avancado,6,80,Arnold Split
M,26,73.9,1.56,iniciante,4,70,Upper/Lower 2x
F,23,51.4,1.66,intermediario,3,60,Full Body 3x
M,38,110.1,1.99,iniciante,5,70,Upper/Lower 3x + Full Body
M,57,88.8,1.8,iniciante,6,40,PPL 2x
F,51,52.2,1.97,avancado,6,70,PPL 2x
F,24,52.3,1.83,avancado,3,70,PPL 1x
M,29,72.8,1.92,intermediario,4,60,Full Body 4x
F,43,47.9,1.91,iniciante,4,80,Upper/Lower 2x
M,57,100.5,1.53,avancado,4,80,Upper/Lower 2x
F,44,94.2,1.83,avancado,3,60,Full Body 3x
F,29,94.5,1.88,intermediario,5,60,Lower Focus (LULUL)
F,56,49.9,1.66,avancado,3,80,Full Body 3x
F,43,77.7,1.79,intermediario,6,60,Upper/Lower 3x
M,24,107.3,1.6,intermediario,5,70,Bro Split
M,37,79.5,1.99,intermediario,4,80,Upper/Lower 2x
F,22,54.0,1.53,avancado,5,70,Lower Focus (LULUL)
F,61,57.3,1.56,intermediario,5,70,Upper/Lower 2x + Full Body
F,59,83.8,2.0,intermediario,3,70,Full Body 3x
F,51,58.8,1.83,intermediario,3,50,Full Body 3x
M,23,56.5,1.79,intermediario,5,70,Bro Split
M,22,80.0,2.0,intermediario,5,70,Bro Split
M,22,101.4,1.93,intermediario,6,80,Arnold Split
F,19,48.2,1.92,intermediario,3,70,Full Body 3x
M,26,66.7,1.8,iniciante,6,80,PPL 2x
M,23,92.4,1.83,iniciante,5,80,Upper/Lower 3x + Full Body
M,20,87.9,1.68,intermediario,6,90,PPL 2x
M,41,74.5,1.97,intermediario,5,70,Bro Split
F,33,79.8,1.76,avancado,5,70,Upper/Lower 2x + Full Body
M,35,98.1,1.52,iniciante,4,60,Upper/Lower 2x
M,49,94.1,1.61,intermediario,4,70,Upper/Lower 2x
F,32,58.0,1.82,iniciante,6,40,PPL 2x
F,27,92.0,1.57,iniciante,5,100,Upper/Lower 3x + Full Body
M,42,101.4,1.78,intermediario,4,60,Full Body 4x
F,24,63.9,1.98,iniciante,5,50,Upper/Lower 3x + Full Body
F,23,48.3,1.82,intermediario,5,70,Lower Focus (LULUL)
M,24,72.8,1.55,avancado,4,60,Upper/Lower 2x
M,23,66.4,1.86,iniciante,6,40,PPL 2x
F,30,72.6,1.8,avancado,4,60,Upper/Lower 2x
M,45,77.4,1.87,avancado,6,60,PPL 2x
M,23,99.6,1.86,intermediario,4,60,Full Body 4x
M,44,114.7,1.82,intermediario,4,70,Upper/Lower 2x
F,32,54.2,1.99,avancado,5,60,Lower Focus (LULUL)
M,32,74.8,1.93,avancado,6,70,PPL 2x
M,50,60.0,1.62,iniciante,3,40,Full Body 3x
F,28,85.4,1.51,avancado,4,60,Upper/Lower 2x
M,35,81.4,1.81,avancado,3,70,PPL 1x
F,43,57.2,1.87,avancado,3,70,Full Body 3x
M,60,66.4,1.68,iniciante,5,90,Upper/Lower 3x + Full Body
F,32,53.5,1.98,iniciante,4,80,Upper/Lower 2x
M,50,73.9,1.74,iniciante,3,70,Full Body 3x
M,37,115.0,1.96,avancado,3,80,PPL 1x
F,53,47.9,1.5,intermediario,5,60,Upper/Lower 2x + Full Body
M,17,81.1,1.5,intermediario,4,40,Full Body 4x
M,35,81.7,1.96,iniciante,5,50,Upper/Lower 3x + Full Body
F,31,63.2,1.95,intermediario,5,50,Lower Focus (LULUL)
F,33,53.1,1.68,intermediario,5,80,Lower Focus (LULUL)
M,43,67.3,1.52,intermediario,5,80,UL PPL
M,24,116.6,1.98,avancado,3,60,PPL 1x
M,36,76.1,1.88,avancado,6,50,Upper/Lower 3x
M,59,63.2,1.67,iniciante,4,40,Full Body 4x
F,49,93.8,1.87,intermediario,5,60,Upper/Lower 2x + Full Body
F,22,57.4,1.58,intermediario,4,60,Full Body 4x
F,23,94.7,1.62,avancado,4,60,Upper/Lower 2x
M,47,100.6,1.75,iniciante,4,50,Full Body 4x
M,24,72.8,1.6,iniciante,3,70,Full Body 3x
M,22,79.7,1.76,intermediario,4,50,Full Body 4x
M,32,88.1,1.82,iniciante,5,60,Upper/Lower 3x + Full Body
F,58,57.3,1.95,iniciante,3,40,Full Body 3x
M,45,73.5,1.64,intermediario,6,50,Upper/Lower 3x
F,58,61.7,1.56,intermediario,4,60,Full Body 4x
F,44,82.1,1.79,intermediario,4,70,Upper/Lower 2x
F,26,49.4,1.55,intermediario,3,40,Full Body 3x
M,61,67.5,1.72,iniciante,5,60,Upper/Lower 3x + Full Body
M,34,89.7,1.58,iniciante,6,70,PPL 2x
F,27,89.7,1.72,intermediario,6,40,Upper/Lower 3x
M,32,65.9,1.64,avancado,5,40,UL PPL
M,37,103.1,1.7,intermediario,3,50,Full Body 3x
F,45,73.1,1.7,intermediario,4,50,Full Body 4x
M,24,93.5,1.5,avancado,6,60,PPL 2x
F,43,60.2,1.61,intermediario,3,50,Full Body 3x
M,20,74.0,1.82,avancado,5,80,UL PPL
M,27,96.8,1.62,avancado,3,40,PPL 1x
F,30,61.2,1.97,avancado,5,70,Lower Focus (LULUL)
F,32,61.2,1.53,avancado,5,50,Lower Focus (LULUL)
M,60,71.6,1.51,intermediario,3,70,Full Body 3x
F,42,88.5,1.82,intermediario,6,50,Upper/Lower 3x
F,27,52.8,1.62,intermediario,5,50,Lower Focus (LULUL)
F,34,54.1,1.59,avancado,4,70,Upper/Lower 2x
M,58,97.1,1.51,iniciante,4,80,Upper/Lower 2x
M,42,59.5,1.54,iniciante,6,50,PPL 2x
M,36,94.2,1.69,iniciante,3,70,Full Body 3x
M,40,63.6,1.89,iniciante,3,70,Full Body 3x
M,18,90.3,1.91,avancado,3,50,PPL 1x
F,34,85.8,1.65,intermediario,4,40,Full Body 4x
M,42,56.4,1.52,intermediario,3,60,Full Body 3x
M,50,55.1,1.61,iniciante,6,50,PPL 2x
M,41,114.9,1.84,intermediario,3,60,Full Body 3x
M,65,61.6,1.98,intermediario,5,50,Bro Split
M,56,113.2,1.8,iniciante,5,70,Upper/Lower 3x + Full Body
M,42,113.1,1.84,intermediario,5,60,Bro Split
F,23,78.1,1.97,avancado,3,70,PPL 1x
M,51,105.6,1.57,iniciante,6,70,PPL 2x
F,47,85.7,1.56,intermediario,5,50,Upper/Lower 2x + Full Body
M,29,66.8,1.69,iniciante,6,60,PPL 2x
F,61,51.9,1.97,avancado,6,60,PPL 2x
F,35,71.6,1.91,intermediario,6,60,Upper/Lower 3x
M,46,100.7,1.62,iniciante,3,60,Full Body 3x
M,34,114.9,1.53,iniciante,4,60,Upper/Lower 2x
F,24,57.1,1.91,iniciante,4,50,Full Body 4x
M,42,79.5,1.51,avancado,5,40,Bro Split
M,23,86.0,1.8,iniciante,4,60,Upper/Lower 2x
M,22,55.8,1.92,intermediario,4,60,Full Body 4x
F,24,68.5,1.86,intermediario,3,60,Full Body 3x
M,24,94.3,1.59,iniciante,6,80,PPL 2x
F,42,72.7,1.91,avancado,5,70,Lower Focus (LULUL)
M,32,72.7,1.55,intermediario,4,70,Upper/Lower 2x
M,31,69.2,1.59,intermediario,3,80,Full Body 3x
F,34,77.6,1.7,intermediario,3,80,Full Body 3x
M,40,72.5,1.55,intermediario,5,40,Bro Split
M,28,59.2,1.8,avancado,5,50,UL PPL
M,25,70.6,1.54,intermediario,3,70,Full Body 3x
M,47,58.1,1.55,iniciante,5,70,Upper/Lower 3x + Full Body
M,59,75.4,1.7,intermediario,4,70,Upper/Lower 2x
F,22,89.8,1.75,intermediario,4,40,Full Body 4x
F,47,74.3,1.93,iniciante,4,70,Upper/Lower 2x
M,22,116.9,1.62,iniciante,4,70,Upper/Lower 2x
F,24,67.4,1.57,iniciante,6,40,PPL 2x
F,43,57.0,2.0,intermediario,4,70,Upper/Lower 2x
M,66,107.3,1.57,avancado,3,60,Full Body 3x
M,33,115.7,1.58,iniciante,5,60,Upper/Lower 3x + Full Body
F,21,57.9,1.74,iniciante,6,70,PPL 2x
M,24,118.2,1.74,intermediario,5,60,Bro Split
M,51,83.7,1.76,intermediario,5,60,Bro Split
F,42,58.1,1.94,intermediario,3,70,Full Body 3x
M,27,65.0,1.55,intermediario,6,80,PPL 2x
F,26,78.5,1.67,intermediario,6,50,Upper/Lower 3x
M,25,114.6,1.96,avancado,4,60,Upper/Lower 2x
F,21,94.8,1.74,intermediario,6,50,Upper/Lower 3x
M,33,116.7,1.57,iniciante,3,100,Full Body 3x
M,46,115.9,1.68,intermediario,6,50,Upper/Lower 3x
M,26,116.9,1.84,iniciante,4,40,Full Body 4x
F,21,49.1,1.94,intermediario,6,60,Upper/Lower 3x
F,41,54.2,1.53,avancado,6,60,PPL 2x
M,45,67.9,1.97,intermediario,4,90,Upper/Lower 2x
F,33,86.2,1.78,avancado,4,40,Full Body 4x
M,41,76.0,1.99,avancado,5,40,Bro Split
M,54,87.5,1.66,avancado,6,60,PPL 2x
F,44,92.2,1.93,intermediario,3,40,Full Body 3x
M,45,82.3,1.77,iniciante,6,50,PPL 2x
M,26,118.2,1.79,iniciante,5,40,Upper/Lower 3x + Full Body
M,54,100.5,1.82,intermediario,6,60,Upper/Lower 3x
F,49,71.2,1.88,iniciante,4,60,Upper/Lower 2x
M,30,90.3,1.69,avancado,6,70,PPL 2x
M,43,119.7,1.9,iniciante,3,70,Full Body 3x
F,32,82.5,1.81,intermediario,6,60,Upper/Lower 3x
F,48,87.6,1.61,avancado,6,50,Upper/Lower 3x
M,51,77.8,1.9,intermediario,6,40,Upper/Lower 3x
M,31,88.0,1.63,intermediario,5,80,UL PPL
F,47,78.7,1.5,avancado,3,40,Full Body 3x
F,24,87.0,1.76,intermediario,5,60,Lower Focus (LULUL)
F,60,57.1,1.99,iniciante,6,80,PPL 2x
F,48,51.4,1.82,avancado,4,60,Upper/Lower 2x
M,29,83.4,1.55,avancado,3,70,PPL 1x
F,47,86.9,1.58,iniciante,3,40,Full Body 3x
M,33,56.8,1.85,avancado,3,70,PPL 1x
M,19,118.9,1.82,avancado,4,50,Full Body 4x
F,54,54.7,1.92,intermediario,6,70,PPL 2x
F,41,49.1,1.57,iniciante,3,50,Full Body 3x
M,56,62.0,1.64,avancado,3,40,Full Body 3x
M,50,80.4,1.75,iniciante,3,60,Full Body 3x
M,39,99.7,1.69,iniciante,6,80,PPL 2x
M,25,113.7,1.83,intermediario,3,50,Full Body 3x
F,30,69.2,1.81,intermediario,4,60,Full Body 4x
M,27,67.5,1.51,iniciante,4,50,Full Body 4x
M,30,56.9,1.57,iniciante,4,60,Upper/Lower 2x
M,34,77.7,1.78,iniciante,6,60,PPL 2x
M,58,71.3,1.6,avancado,5,90,Bro Split
F,23,53.3,1.6,intermediario,6,80,PPL 2x
F,32,85.8,1.81,intermediario,6,50,Upper/Lower 3x
M,30,84.2,1.94,avancado,5,70,UL PPL
F,28,64.9,1.56,avancado,6,70,PPL 2x
M,30,69.0,1.69,iniciante,5,50,Upper/Lower 3x + Full Body
M,29,101.6,1.61,intermediario,5,80,UL PPL
F,37,59.2,1.61,iniciante,5,70,Upper/Lower 3x + Full Body
M,58,92.3,1.82,intermediario,6,60,Upper/Lower 3x
M,29,58.2,1.75,iniciante,5,60,Upper/Lower 3x + Full Body
M,23,94.1,1.8,iniciante,3,60,Full Body 3x
M,40,114.3,1.64,avancado,6,40,Upper/Lower 3x
M,36,76.9,1.51,intermediario,6,70,PPL 2x
F,28,65.0,1.78,iniciante,3,60,Full Body 3x
F,42,69.7,1.82,avancado,5,80,Lower Focus (LULUL)
M,23,58.1,1.51,iniciante,5,80,Upper/Lower 3x + Full Body
M,44,66.1,1.6,avancado,5,80,Bro Split
M,36,115.7,1.93,iniciante,3,50,Full Body 3x
M,58,72.1,1.84,avancado,6,60,PPL 2x
M,25,92.9,1.56,iniciante,4,70,Upper/Lower 2x
F,53,76.8,1.83,intermediario,4,70,Upper/Lower 2x
F,41,61.1,1.87,iniciante,5,70,Upper/Lower 3x + Full Body
F,43,72.9,1.94,intermediario,4,70,Upper/Lower 2x
F,22,48.0,1.51,iniciante,6,50,PPL 2x
M,23,107.9,1.88,intermediario,5,70,Bro Split
F,29,77.8,1.92,iniciante,4,50,Full Body 4x
F,30,88.4,1.76,avancado,4,40,Full Body 4x
F,32,92.6,1.79,iniciante,6,80,PPL 2x
M,45,56.1,1.73,iniciante,6,70,PPL 2x
F,33,50.9,1.78,intermediario,4,50,Full Body 4x
F,35,47.7,1.64,iniciante,6,70,PPL 2x
F,32,54.5,1.59,iniciante,6,60,PPL 2x
M,23,97.0,1.98,iniciante,3,80,Full Body 3x
M,37,59.3,1.55,iniciante,6,60,PPL 2x
F,23,69.8,1.59,iniciante,5,70,Upper/Lower 3x + Full Body
M,28,61.1,1.75,intermediario,6,70,PPL 2x
M,51,66.1,1.84,iniciante,5,80,Upper/Lower 3x + Full Body
M,24,98.3,1.71,iniciante,5,80,Upper/Lower 3x + Full Body
M,25,93.6,1.98,intermediario,6,80,Arnold Split
M,34,108.2,1.78,avancado,4,60,Upper/Lower 2x
M,25,105.4,1.55,avancado,5,60,UL PPL
F,44,78.2,1.63,intermediario,5,60,Lower Focus (LULUL)
F,29,50.6,1.84,intermediario,3,50,Full Body 3x
M,32,97.9,1.57,intermediario,4,70,Upper/Lower 2x
F,42,63.0,1.87,iniciante,6,70,PPL 2x
F,60,94.4,1.94,iniciante,5,80,Upper/Lower 3x + Full Body
F,31,92.3,1.64,iniciante,5,80,Upper/Lower 3x + Full Body
F,23,73.3,1.9,iniciante,3,90,Full Body 3x
M,35,85.3,1.58,avancado,4,60,Upper/Lower 2x
F,28,45.8,1.52,iniciante,3,40,Full Body 3x
F,28,62.6,1.92,iniciante,4,60,Upper/Lower 2x
M,28,117.0,1.86,iniciante,4,60,Upper/Lower 2x
F,55,55.9,1.74,intermediario,6,60,Upper/Lower 3x
M,61,113.0,1.96,intermediario,4,70,Upper/Lower 2x
F,42,85.2,1.57,avancado,5,50,Upper/Lower 2x + Full Body
F,37,60.2,1.65,avancado,6,60,PPL 2x
F,31,49.8,1.76,intermediario,5,60,Lower Focus (LULUL)
F,32,93.1,1.73,avancado,3,90,PPL 1x
M,32,95.0,1.65,iniciante,5,50,Upper/Lower 3x + Full Body
F,36,47.7,1.92,iniciante,3,60,Full Body 3x
F,46,87.0,1.54,iniciante,3,60,Full Body 3x
F,22,73.3,1.85,avancado,3,70,PPL 1x
M,41,100.6,1.76,intermediario,6,50,Upper/Lower 3x
M,54,74.6,1.66,avancado,3,80,Full Body 3x
M,39,62.5,1.5,intermediario,3,60,Full Body 3x
M,27,85.8,1.92,intermediario,3,80,Full Body 3x
F,28,94.1,1.91,avancado,5,80,Upper/Lower 2x + Full Body
M,42,83.1,1.82,iniciante,4,50,Full Body 4x
M,44,86.0,1.65,intermediario,6,60,Upper/Lower 3x
F,28,79.9,1.55,intermediario,6,50,Upper/Lower 3x
M,28,91.7,1.51,iniciante,6,40,PPL 2x
M,54,85.4,1.86,iniciante,4,60,Upper/Lower 2x
M,51,77.7,1.85,intermediario,3,50,Full Body 3x
F,24,68.0,1.93,iniciante,5,80,Upper/Lower 3x + Full Body
F,21,63.8,1.74,intermediario,5,50,Lower Focus (LULUL)
F,29,74.2,1.91,iniciante,3,80,Full Body 3x
M,24,98.2,1.75,intermediario,5,70,Bro Split
M,63,61.9,1.94,intermediario,6,70,PPL 2x
M,32,59.0,1.63,iniciante,3,60,Full Body 3x
M,31,115.0,1.66,intermediario,6,50,Upper/Lower 3x
M,40,67.7,1.75,intermediario,4,50,Full Body 4x
M,24,60.6,1.51,avancado,3,50,PPL 1x
M,48,78.4,1.7,intermediario,3,60,Full Body 3x
F,42,54.5,1.6,avancado,5,60,Lower Focus (LULUL)
M,54,107.1,1.72,intermediario,3,70,Full Body 3x
F,23,50.0,1.75,iniciante,5,40,Upper/Lower 3x + Full Body
F,49,91.1,1.63,intermediario,3,80,Full Body 3x
F,24,48.7,1.79,avancado,5,60,Lower Focus (LULUL)
M,21,92.9,1.97,avancado,3,40,PPL 1x
M,32,76.7,1.88,iniciante,5,80,Upper/Lower 3x + Full Body
M,41,70.3,1.54,avancado,3,60,Full Body 3x
F,21,74.9,1.81,iniciante,6,80,PPL 2x
M,27,61.8,1.75,iniciante,5,60,Upper/Lower 3x + Full Body
M,28,56.4,1.53,avancado,4,60,Upper/Lower 2x
M,51,90.9,1.53,avancado,4,60,Upper/Lower 2x
M,32,62.5,1.56,intermediario,5,60,Bro Split
M,30,70.5,1.55,iniciante,6,70,PPL 2x
M,53,119.4,1.51,intermediario,3,40,Full Body 3x
M,23,73.4,1.66,intermediario,4,100,Upper/Lower 2x
F,23,68.9,1.56,iniciante,5,80,Upper/Lower 3x + Full Body
F,26,89.9,1.93,intermediario,5,80,Lower Focus (LULUL)
F,46,88.4,1.62,avancado,5,70,Upper/Lower 2x + Full Body
M,35,77.5,1.71,avancado,6,60,PPL 2x
M,26,109.7,1.76,iniciante,4,50,Full Body 4x
M,44,57.3,1.62,intermediario,6,90,PPL 2x
M,19,72.6,1.79,iniciante,3,40,Full Body 3x
F,51,69.8,1.93,intermediario,3,50,Full Body 3x
F,31,71.6,1.83,iniciante,5,80,Upper/Lower 3x + Full Body
F,55,91.1,1.95,avancado,4,70,Upper/Lower 2x
F,29,88.3,1.89,avancado,3,80,PPL 1x
F,37,87.9,1.97,intermediario,5,50,Lower Focus (LULUL)
M,31,63.6,1.51,avancado,5,40,UL PPL
F,27,61.9,1.7,intermediario,5,60,Lower Focus (LULUL)
M,27,63.1,1.78,iniciante,5,80,Upper/Lower 3x + Full Body
M,33,83.6,1.73,avancado,6,70,PPL 2x
F,37,47.9,1.97,iniciante,5,90,Upper/Lower 3x + Full Body
F,33,83.3,1.64,avancado,4,50,Full Body 4x
M,25,70.1,1.83,iniciante,6,70,PPL 2x
M,20,59.0,1.86,iniciante,5,40,Upper/Lower 3x + Full Body
F,50,72.0,1.52,iniciante,3,40,Full Body 3x
M,33,70.4,1.66,intermediario,6,40,Upper/Lower 3x
F,32,52.2,1.66,avancado,5,90,Lower Focus (LULUL)
F,54,68.5,1.99,intermediario,4,60,Full Body 4x
